text,class,cleaned_text,original_length,cleaned_length
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",positive,at first the contract envisaged the construction of three ferryboats with an option for two more units further confirmed at a total value of 500 million euro 645.8 million,34,29
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,kesko corporation stock exchange release 28.02.2008 at 09.30 kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko telko ltd a subsidiary wholly owned by kesko,39,34
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement 20 july 2006 basware share subscriptions with warrants and increase in share capital a total of 119 850 shares have been subscribed with basware warrant program,34,29
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,the omx helsinki 25 index was up 0.92 percent at 2518.67 and the helsinki cap portfolio index was 0.91 percent higher at 4711.19,24,23
"- So , the sales growth of cars considerably influence on the tires market '' .",neutral,so the sales growth of cars considerably influence on the tires market,16,12
"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",neutral,finnish real estate investor sponda plc said on wednesday 12 march that it has signed agreements with danske bank a helsinki branch for a year eur150m credit facility and with ilmarinen mutual pension insurance company for a year eur50m credit facility,43,41
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral,other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments divestments and redelivery of excess tonnage,24,22
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,neutral,telecomworldwire april 2006 tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday april that it had signed an agreement on selling its shares of morning digital design oy to edita company,42,41
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,telecomworldwire april 2006 tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday april that it had signed an agreement on selling its shares of morning digital design oy to edita company,42,41
The fuel purchase contracts have been signed with three months ' delivery from this September to November .,neutral,the fuel purchase contracts have been signed with three months delivery from this september to november,18,16
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari operates 194 stores in six countries including its core finnish market and generated a turnover of 76.5 million euro in 2005,25,22
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe,20,19
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean africa and north america says uwe bakosch,47,44
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,neutral,no blind spots coming from vantage point allows investigators to see the whole story in high resolution with no unbroken video,22,21
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,the company still expects its turnover in 2010 to slightly increase from the level of 2009 adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year,44,40
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,the acquisition will considerably increase kemira sales and market position in the russian metal industry coatings market,19,17
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,in january september 2007 finnlines net sales rose to euro 505.4 million from euro 473.5 million in the corresponding period in 2006,24,22
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjusted for changes in the group structure the division net sales increased by 1.7,18,14
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,february 2011 finnish broadband data communication systems provider teleste company Helsinki tlt1v saw its net profit jump to eur2.1 for the last quarter of 2010 from eur995 000 for the same period of 2009,40,34
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operating profit rose to euro 17.5 million in the first quarter of 2010 from euro 8.2 million in the first quarter of 2009,28,26
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank of àland consolidated net operating profit increased from euro 4.8 million in the first quarter of 2005 to euro 6.4 million in the first quarter of 2006,31,29
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sales of finnish food industry company lñnnen tehtaat continuing operations increased by 13 in 2008 to euro 349.1 million from euro 309.6 million in 2007,29,26
An individual promotion also generated slightly higher-than-expected revenues .,positive,an individual promotion also generated slightly higher than expected revenues,9,10
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement,22,21
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,both operating profit and turnover for the three month period increased respectively from eur0.9 and eur8.3 as compared to the corresponding period in 2005,30,24
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain seppñlñ net sales increased by 7.0 to euro 30.8 million,15,12
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volumes meanwhile grow at a rate of 10 15 percent annually,12,12
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however biohit estimates its total net sales will continue to grow in 2009 and that favourable trends in net sales will lead to a profit in 2009,30,27
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,in 2009 fiskars cash flow from operating activities amounted to eur121m up from eur97m in the previous year,22,18
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,in lithuania operating profit rose to euro 190000 from euro 70000 in the corresponding period in 2005,19,17
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sales rose by 59.8 to euro 1244.4 million,11,9
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sales grew in the period to x20ac 402 million 585us million from x20ac 401 million in 2006,20,18
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sales rose by 25.5 year on year to eur59.6 as the number of chargers delivered went up by 41 to 65.9 million pieces,28,24
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sales totaled euro 93.6 million up from euro 93.2 million in the corresponding period in 2005,19,17
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",positive,nokia also noted the average selling price of handsets declined during the period though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year ago quarter,34,33
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increased from 11.2 to 11.7,11,8
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rose to euro 3.11 million from euro 1.22 million in the corresponding period in 2009,18,17
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operating profit was euro 24.5 million up from euro 23.0 million,13,11
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grew by percent to x20ac 580 million 743 million from x20ac 569 million,18,14
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,ruukki announced that it has signed an agreement with aker solutions of norway to supply 24 suction anchors in september 2010 from its kalajoki unit in finland,28,27
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volumes and selling prices showed favourable development and the company comparable net sales grew by 50 year on year to eur647m ceo sakari tamminen said,30,27
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,the bank forecasts finland gdp will grow by in 2010 and in 2011,17,13
"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",positive,the circuit overall production rate on a weekly basis is now in excess of an average of 40000 tonnes per day with volumes in excess of 50000 tonnes per day being reached on individual days,38,35
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,the company consolidated operating profit amounted to euro 15.86 million up from euro 4.14 million year on year,19,18
The Department Store Division reported an increase in sales of 4 per cent .,positive,the department store division reported an increase in sales of per cent,14,12
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",positive,the priority for 2009 was to strengthen the company balance sheet and increase cash flow ceo hannu krook said,24,19
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,21 october 2010 finnish fishing tackle company rapala vmc corp Helsinki rap1v said today its net profit rose to eur18.9 for the first nine months of 2010 from eur15.1 for the same period a year earlier,45,36
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,according to finnish metso minerals the value of the company orders has gone up to euro 1.9 bn in 12 months,24,21
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive,finnish aldata solution has signed a contract of supply its g.o.l.d system to two french retail chains,18,17
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,finnish bank of àland reports its operating profit rose to euro 21.3 million in the second quarter of 2009 from euro 6.1 million in the corresponding period in 2008,30,29
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,finnish financial group aktia operating profit for 2009 increased to euro 47.0 million from euro 6.6 million in 2008,21,19
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,finnish forest machinery manufacturer ponsse net sales grew to euro 51.3 million in the first quarter of 2010 from euro 37.5 million in the corresponding period in 2009,30,28
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive,finnish pharmaceuticals company orion net sales rose to euro 190mn in the first quarter of 2009 from euro 180mn in the first quarter of 2008,27,25
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,finnish ponsse has signed an agreement with babcock africa for the distribution and support of ponsse forest machines harvester heads and information systems in south africa,29,26
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish real corporation graphic papers business unit,29,27
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,according to hkscan finland the plan is to increase jñrvi suomen portti net sales to euro 80mn to euro 100mn,22,20
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,advertising and circulation revenues grew by 3.4 and by 0.4 respectively,15,11
"Again , the most significant sales increase of 18.6 % was in Russia .",positive,again the most significant sales increase of 18.6 was in russia,14,11
Alma Media expects its net sales to increase as forecast previously .,positive,alma medium expects its net sales to increase as forecast previously,12,11
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,also lemminkñinen profit for accounting period went up to euro 3.1 million from euro 24.5 million a year ago,21,19
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,at the end of march 2007 the group order book was at euro 39.6 million up 42 from the corresponding period in 2006,28,23
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,neutral,aviation systems maintenance is based in kansas and generated net sales of usd 2.6 million for 2008,18,17
"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",positive,besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment paavel said,32,29
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,both operating profit and net sales for the 12 month period increased respectively from eur20.8 and eur177.7 as compared to the financial year 2004,30,24
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,both operating profit and net sales for the 12 month period increased respectively from eur21.5 and eur196.1 as compared to 2005,27,21
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,both operating profit and net sales for the six month period increased respectively from eur0.4 and eur3.2 as compared to the corresponding period in 2005,31,25
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,both operating profit and net sales for the six month period increased respectively from eur18.1 and eur127.6 as compared to the corresponding period in 2006,31,25
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,both operating profit and net sales for the six month period increased respectively from eur7.5 and eur655.5 as compared to the corresponding period in 2005,31,25
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,both operating profit and sales for the three month period increased respectively from eur0.3 and eur13.1 as compared to the corresponding period in 2005,30,24
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,both operating profit and turnover for the nine month period increased respectively from eur2.4 and eur43.8 as compared to the corresponding period a year ago,31,25
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,both operating profit and turnover for the six month period increased respectively from eur17.6 and eur1149.9 as compared to the corresponding period in 2007,31,24
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,both operating profit and turnover for the six month period increased respectively from eur0.1 and eur29.0 as compared to the corresponding period a year ago,31,25
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,comparable operating profit totaled euro 854mn up from euro 730mn in 2004,14,12
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,digia said its consolidated net sales for january june 2010 were eur67.8 up 9.7 on the same period in 2009 eur61.9,29,21
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,diluted earnings per share eps rose to euro 0.29 from euro 0.05,15,12
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,diluted earnings per share eps rose to euro 1.05 from euro 0.64,15,12
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive,diluted earnings per share eps rose to euro 3.68 from euro 0.50,15,12
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,diluted eps rose to eur3.68 from eur0.50,10,7
EBIT margin was up from 1.4 % to 5.1 % .,positive,ebit margin was up from 1.4 to 5.1,11,8
"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .",neutral,editor note grimaldi generated a 1.7 bln euro 2.182 bln turnover in 2005 ansa reported on may 29 2006,27,19
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,eps for the quarter was eur0.00 as compared with eur0.01 in the third quarter of 2008 representing a group net sales for the third quarter were eur15.3 up by 2.8 as compared with eur14.9 in the third quarter of 2008,51,40
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",positive,equity ratio was 60.9 compared to 54.2 in the third quarter of 2007 net sales of the frozen foods business totaled euro 11.0 up by about from the third quarter of 2006,39,32
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,eur928 000 in q1 2010 may 2010 finnish textile and clothing design company marimekko company Helsinki mmo1v said today its net profit rose to eur928 000 in the first quarter of 2010 from eur13 000 in the corresponding period a year earlier,48,42
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,finland based elcoteq se a privately held provider of electronics manufacturing services to communications companies said thursday it signed a long term manufacturing supply deal with communications equipment company andrew corp,32,31
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,finnish department store chain stockmann company abp net profit rose to 39.8 million euro 56.8 million for the first nine months of 2007 from 37.4 million euro 53.4 million for the same period of 2006,42,35
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,finnish lifting equipment maker konecranes company said on july 30 2008 that its net profit rose to 71.2 million euro 111.1 million for the first half of 2008 from 57.1 million euro 89.1 million for the same period of 2007,48,40
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,finnish metal products company componenta company net profit rose to 26.1 million euro 35.9 million for the first quarter of 2007 from 5.3 million euro 7.3 million for the same period of 2006,40,33
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,finnish software developer done solutions company said its net profit increased to 3.5 million euro 4.6 million in 2006 from 2.3 million euro 3.0 million in 2005,34,27
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,for the first nine months of 2010 the company net profit rose to eur41m from eur30m for the corresponding period of 2009,25,22
